iter	Logloss
0	0.2929916174
1	0.1797265744
2	0.1568718516
3	0.1533012682
4	0.1503110257
5	0.1486334623
6	0.1471149969
7	0.1461769611
8	0.1449186205
9	0.1442715982
10	0.1440580471
11	0.143872366
12	0.1436577186
13	0.1434315056
14	0.1431812147
15	0.1429489169
16	0.1427217229
17	0.1426322208
18	0.1422132214
19	0.1421772059
20	0.1421104918
21	0.1419822685
22	0.1417507381
23	0.1414234576
24	0.1413794791
25	0.1410401509
26	0.1408093087
27	0.1405058136
28	0.1403372827
29	0.1401933116
30	0.1398091669
31	0.1396613201
32	0.1395425426
33	0.1394210222
34	0.1392081769
35	0.138473796
36	0.1383741733
37	0.138342523
38	0.1382211981
39	0.1380797131
40	0.1375664873
41	0.1373173261
42	0.1371394955
43	0.1369249069
44	0.1367007216
45	0.1366668441
46	0.1363681824
47	0.1363581363
48	0.1362024107
49	0.1359846679
