iter	Passed	Remaining
0	41	2012
1	66	1594
2	94	1478
3	119	1375
4	148	1339
5	179	1318
6	213	1308
7	245	1289
8	280	1276
9	307	1230
10	334	1184
11	361	1143
12	389	1108
13	423	1088
14	450	1050
15	475	1009
16	501	973
17	525	934
18	554	904
19	580	871
20	613	846
21	645	821
22	676	794
23	704	763
24	731	731
25	769	710
26	797	679
27	825	648
28	849	615
29	875	583
30	900	551
31	929	522
32	953	491
33	979	460
34	1003	430
35	1028	400
36	1057	371
37	1081	341
38	1104	311
39	1128	282
40	1151	252
41	1174	223
42	1199	195
43	1224	167
44	1248	138
45	1283	111
46	1307	83
47	1332	55
48	1356	27
49	1381	0
